,H,M,S,draws,energy
0,0,0,0,2.2e-322,3.802e-320
1,0,0,1,2.2e-322,3.802e-320
2,0,0,2,2.2e-322,3.802e-320
3,0,0,3,2.2e-322,3.802e-320
4,0,0,4,2.2e-322,3.802e-320
5,0,0,5,2.2e-322,3.802e-320
6,0,0,6,2.2e-322,3.802e-320
7,0,0,7,2.2e-322,3.802e-320
8,0,0,8,2.2e-322,3.802e-320
9,0,0,9,2.2e-322,3.802e-320
10,0,0,10,2.2e-322,3.802e-320
11,0,0,11,2.2e-322,3.802e-320
12,0,0,12,2.27e-322,3.8913e-320
13,0,0,13,2.27e-322,3.8913e-320
14,0,0,14,2.27e-322,3.8913e-320
15,0,0,15,2.27e-322,3.8913e-320
16,0,0,16,2.27e-322,3.8913e-320
17,0,0,17,2.27e-322,3.8913e-320
18,0,0,18,2.27e-322,3.8913e-320
19,0,0,19,2.27e-322,3.8913e-320
20,0,0,20,2.27e-322,3.8913e-320
21,0,0,21,2.27e-322,3.8913e-320
22,0,0,22,2.27e-322,3.8913e-320
23,0,0,23,2.27e-322,3.8913e-320
24,0,0,24,2.27e-322,3.8913e-320
25,0,0,25,2.27e-322,3.8913e-320
26,0,0,26,2.27e-322,3.8913e-320
27,0,0,27,2.27e-322,3.8913e-320
28,0,0,28,2.27e-322,3.8913e-320
29,0,0,29,2.27e-322,3.8913e-320
30,0,0,30,2.27e-322,3.8913e-320
31,0,0,31,2.27e-322,3.8913e-320
32,0,0,32,2.27e-322,3.8913e-320
33,0,0,33,2.27e-322,3.8913e-320
34,0,0,34,2.27e-322,3.8913e-320
35,0,0,35,2.27e-322,3.8913e-320
36,0,0,36,2.27e-322,3.8913e-320
37,0,0,37,2.27e-322,3.8913e-320
38,0,0,38,2.27e-322,3.8913e-320
39,0,0,39,2.27e-322,3.8913e-320
40,0,0,40,2.27e-322,3.8913e-320
41,0,0,41,2.27e-322,3.8913e-320
42,0,0,42,2.27e-322,3.8913e-320
43,0,0,43,2.27e-322,3.8913e-320
44,0,0,44,2.27e-322,3.8913e-320
45,0,0,45,2.27e-322,3.8913e-320
46,0,0,46,2.27e-322,3.8913e-320
47,0,0,47,2.27e-322,3.8913e-320
48,0,0,48,2.27e-322,3.8913e-320
49,0,0,49,0.00043,0.07367451583333333
50,0,0,50,0.00043,0.07367451583333333
51,0,0,51,0.00043,0.07367451583333333
52,0,0,52,0.00043,0.07367451583333333
53,0,0,53,0.00043,0.07367451583333333
54,0,0,54,0.00043,0.07367451583333333
55,0,0,55,0.00043,0.07367451583333333
56,0,0,56,0.00043,0.07367451583333333
57,0,0,57,0.00043,0.07367451583333333
58,0,0,58,0.00043,0.07367451583333333
59,0,0,59,0.00043,0.07367451583333333
60,0,1,0,0.00043,0.07367451583333333
61,0,1,1,0.00043,0.07367451583333333
62,0,1,2,0.00043,0.07367451583333333
63,0,1,3,0.00043,0.07367451583333333
64,0,1,4,0.00043,0.07367451583333333
65,0,1,5,0.00043,0.07367451583333333
66,0,1,6,0.00043,0.07367451583333333
67,0,1,7,0.00043,0.07367451583333333
68,0,1,8,0.00043,0.07367451583333333
69,0,1,9,0.00043,0.07367451583333333
70,0,1,10,0.00043,0.07367451583333333
71,0,1,11,0.00043,0.07367451583333333
72,0,1,12,0.00043,0.07367451583333333
73,0,1,13,0.00043,0.07367451583333333
74,0,1,14,0.00043,0.07367451583333333
75,0,1,15,0.00043,0.07367451583333333
76,0,1,16,0.00043,0.07367451583333333
77,0,1,17,0.00043,0.07367451583333333
78,0,1,18,2.3e-322,3.9807e-320
79,0,1,19,2.3e-322,3.9807e-320
80,0,1,20,2.3e-322,3.9807e-320
81,0,1,21,2.3e-322,3.9807e-320
82,0,1,22,2.3e-322,3.9807e-320
83,0,1,23,2.3e-322,3.9807e-320
84,0,1,24,2.3e-322,3.9807e-320
85,0,1,25,2.3e-322,3.9807e-320
86,0,1,26,2.3e-322,3.9807e-320
87,0,1,27,2.3e-322,3.9807e-320
88,0,1,28,2.3e-322,3.9807e-320
89,0,1,29,2.3e-322,3.9807e-320
90,0,1,30,2.3e-322,3.9807e-320
91,0,1,31,2.3e-322,3.9807e-320
92,0,1,32,2.3e-322,3.9807e-320
93,0,1,33,2.3e-322,3.9807e-320
94,0,1,34,2.3e-322,3.9807e-320
95,0,1,35,2.3e-322,3.9807e-320
96,0,1,36,2.3e-322,3.9807e-320
97,0,1,37,2.3e-322,3.9807e-320
98,0,1,38,2.3e-322,3.9807e-320
99,0,1,39,2.3e-322,3.9807e-320
100,0,1,40,2.3e-322,3.9807e-320
101,0,1,41,2.3e-322,3.9807e-320
102,0,1,42,2.3e-322,3.9807e-320
103,0,1,43,2.3e-322,3.9807e-320
104,0,1,44,2.3e-322,3.9807e-320
105,0,1,45,2.3e-322,3.9807e-320
106,0,1,46,2.3e-322,3.9807e-320
107,0,1,47,2.3e-322,3.9807e-320
108,0,1,48,2.3e-322,3.9807e-320
109,0,1,49,2.3e-322,3.9807e-320
110,0,1,50,2.3e-322,3.9807e-320
111,0,1,51,2.3e-322,3.9807e-320
112,0,1,52,2.3e-322,3.9807e-320
113,0,1,53,2.3e-322,3.9807e-320
114,0,1,54,2.3e-322,3.9807e-320
115,0,1,55,2.3e-322,3.9807e-320
116,0,1,56,2.3e-322,3.9807e-320
117,0,1,57,2.3e-322,3.9807e-320
118,0,1,58,2.3e-322,3.9807e-320
119,0,1,59,2.3e-322,3.9807e-320
120,0,2,0,2.3e-322,3.9807e-320
